yearsofexperience,yearsatcompany,region,salary_level
1.5,1.5,1,4
5.0,3.0,1,4
2.0,2.0,10,2
8.0,4.0,10,5
13.0,2.0,1,6
13.0,2.0,1,6
7.0,1.0,10,3
15.0,10.0,10,5
11.0,4.0,10,4
10.0,1.0,10,7
1.0,1.0,10,4
2.0,1.0,10,3
9.0,4.0,10,5
4.0,3.0,10,6
2.0,2.0,10,4
5.0,5.0,10,4
10.0,5.0,10,5
5.0,2.0,10,5
6.0,6.0,10,4
2.0,2.0,8,4
4.0,2.0,8,3
1.0,0.0,8,4
15.0,1.0,8,8
5.0,1.0,10,4
1.0,7.0,10,3
1.0,1.0,10,4
3.0,3.0,10,4
14.0,1.0,10,5
17.0,16.0,10,7
6.0,0.0,10,6
8.0,3.0,10,5
15.0,6.0,10,6
5.0,3.0,7,4
5.0,1.0,7,4
1.0,1.0,7,3
10.0,4.0,7,6
0.0,0.0,7,3
8.0,1.0,7,5
3.0,1.0,7,4
10.0,3.0,7,5
10.0,3.0,7,3
0.0,0.0,7,3
1.0,0.0,7,3
3.0,3.0,7,4
6.0,2.0,7,3
4.0,4.0,7,3
2.0,0.0,7,3
20.0,9.0,7,8
12.0,5.0,7,4
23.0,16.0,7,5
0.0,0.0,7,3
5.0,2.0,10,2
1.0,1.0,10,3
8.0,4.0,10,5
30.0,9.0,10,6
15.0,2.0,10,5
4.0,4.0,10,3
7.0,7.0,10,5
3.0,3.0,10,3
6.0,6.0,10,5
10.0,10.0,10,6
8.0,2.0,10,3
2.0,2.0,2,3
8.0,8.0,4,3
15.0,15.0,10,7
5.0,5.0,10,4
3.0,3.0,10,5
0.0,0.0,10,3
7.0,5.0,10,6
12.0,11.0,10,5
6.0,6.0,10,4
23.0,14.0,10,6
16.0,3.0,10,7
5.0,5.0,10,8
0.0,0.0,10,2
35.0,3.0,10,5
0.0,0.0,10,2
12.0,5.0,10,4
5.0,5.0,10,3
2.0,1.0,10,5
8.0,2.0,10,4
3.0,1.0,10,6
4.0,4.0,10,3
3.0,0.0,10,3
2.0,2.0,10,3
17.0,17.0,10,3
10.0,2.0,10,4
4.0,1.0,10,4
5.0,3.0,10,2
5.0,2.0,10,4
12.0,4.0,10,4
2.0,0.0,10,3
4.0,2.0,8,4
1.0,1.0,10,4
